"ROM","PRESET #","PRESET NAME","RIFF NAME","ARP NAME","PRESET LAYER","INST #","INST NAME","SAMPLE NAMES"
"2500","298","str:Pizz 1","STR-Allin a Pizz","Basic News","1","214","str:Pizzicato","Pizz Basses A#0 -- Pizz Basses D1 -- Pizz Basses F#1 -- Pizz Celli F#2 -- Pizz Celli A#2 -- Pizz Violas C3 -- Pizz Violas G3 -- Pizz Violins C4 -- Pizz Violins E4 -- Pizz Violins G#4 -- Pizz Violins C5 -- Pizz Violins C7"
"2500","299","str:Pizz 2","STR-Pizzicati","BOUNCE-O","1","214","str:Pizzicato","Pizz Basses A#0 -- Pizz Basses D1 -- Pizz Basses F#1 -- Pizz Celli F#2 -- Pizz Celli A#2 -- Pizz Violas C3 -- Pizz Violas G3 -- Pizz Violins C4 -- Pizz Violins E4 -- Pizz Violins G#4 -- Pizz Violins C5 -- Pizz Violins C7"
"2500","300","str:Tron Strings","STR-TronStrings","Aud Endo","1","215","str:Tron","Tron Strings C3 -- Tron Strings G3 -- Tron Strings C4 -- Tron Strings G4 -- Tron Strings C5"
"2500","301","str:Quartet","STR-Solo Quartet","Labyrinth1","1","212","str:Solo Quartet","Arco Cello F#1 -- Arco Cello A#1 -- Arco Cello D2 -- Arco Cello F#2 -- Arco Cello A#2 -- Arco Cello D3 -- Arco Cello F#3 -- Arco Cello A#3 -- Arco Viola C4 -- Arco Violin E4 -- Arco Violin G#4 -- Arco Violin C5 -- Arco Violin E5 -- Arco Violin G#5 -- Arco Violin C6 -- Arco Violin E6 -- Arco Violin G#6"
"2500","302","str:Section/Qrt","STR-Texture","Cascade Up","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","303","str:Leg/Pizz Cmb","STR-StrSection","Cascade Down","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","303","str:Leg/Pizz Cmb","STR-StrSection","Cascade Down","2","214","str:Pizzicato","Pizz Basses A#0 -- Pizz Basses D1 -- Pizz Basses F#1 -- Pizz Celli F#2 -- Pizz Celli A#2 -- Pizz Violas C3 -- Pizz Violas G3 -- Pizz Violins C4 -- Pizz Violins E4 -- Pizz Violins G#4 -- Pizz Violins C5 -- Pizz Violins C7"
"2500","304","str:Legato/Pizz","SYN-ThinTecPulse","Nervous","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","304","str:Legato/Pizz","SYN-ThinTecPulse","Nervous","2","214","str:Pizzicato","Pizz Basses A#0 -- Pizz Basses D1 -- Pizz Basses F#1 -- Pizz Celli F#2 -- Pizz Celli A#2 -- Pizz Violas C3 -- Pizz Violas G3 -- Pizz Violins C4 -- Pizz Violins E4 -- Pizz Violins G#4 -- Pizz Violins C5 -- Pizz Violins C7"
"2500","305","str:RubbrStrngs","STR-Orchestra 1","Get Out","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","305","str:RubbrStrngs","STR-Orchestra 1","Get Out","2","396","pad:Paddy","Paddy Bm7"
